name,createdAt,pushedAt,primaryLanguage,mergedPRs,releases,totalIssues,closedIssues
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2025-08-20T16:03:21Z,TypeScript,25720,0,19827,19634
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2025-07-29T21:02:41Z,Markdown,142,0,822,595
sindresorhus/awesome,2014-07-11T13:42:37Z,2025-07-18T18:37:33Z,N/A,679,0,353,340
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2025-08-17T15:03:15Z,Python,6820,0,1181,1150
public-apis/public-apis,2016-03-20T23:49:42Z,2025-05-20T15:56:34Z,Python,1872,0,712,704
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2025-08-20T22:29:36Z,TypeScript,3690,1,2941,2693
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2024-12-05T23:47:30Z,N/A,415,0,516,453
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2025-05-21T11:13:33Z,Python,200,0,339,91
996icu/996.ICU,2019-03-26T07:31:14Z,2024-10-03T12:29:12Z,N/A,1067,0,0,0
vinta/awesome-python,2014-06-27T21:00:06Z,2025-07-17T16:35:51Z,Python,544,0,0,0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2025-08-17T13:42:00Z,N/A,2394,1,806,806
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2024-08-15T05:33:54Z,N/A,182,0,209,79
facebook/react,2013-05-24T16:15:54Z,2025-08-20T22:31:41Z,JavaScript,12116,105,13990,13193
vuejs/vue,2013-07-29T03:24:51Z,2024-10-10T07:24:15Z,TypeScript,1133,249,10028,9673
TheAlgorithms/Python,2016-07-16T09:44:01Z,2025-08-19T14:16:04Z,Python,2976,0,1587,1511
torvalds/linux,2011-09-04T22:48:12Z,2025-08-20T20:33:03Z,C,10,0,0,0
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2025-02-12T16:19:59Z,JavaScript,302,0,366,229
tensorflow/tensorflow,2015-11-07T01:19:20Z,2025-08-20T23:09:08Z,C++,35940,219,40735,39838
ossu/computer-science,2014-05-04T00:18:39Z,2025-07-17T02:38:25Z,HTML,298,0,652,638
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2024-11-19T14:00:38Z,N/A,122,0,0,0
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2025-05-20T14:22:36Z,N/A,368,0,944,863
CyC2018/CS-Notes,2018-02-13T14:56:24Z,2024-08-21T09:40:10Z,N/A,374,0,571,448
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2025-08-19T10:46:13Z,Shell,3377,0,4964,4824
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2025-08-20T22:44:14Z,Python,3194,68,3391,3230
microsoft/vscode,2015-09-03T20:23:38Z,2025-08-20T22:33:43Z,TypeScript,36184,176,205239,193178
twbs/bootstrap,2011-07-29T21:19:00Z,2025-08-20T18:13:35Z,MDX,8972,93,22750,22345
flutter/flutter,2015-03-06T22:54:58Z,2025-08-20T22:24:33Z,Dart,43814,7,108783,96879
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2025-03-28T10:29:23Z,Jupyter Notebook,13,0,691,118
github/gitignore,2010-11-08T20:17:14Z,2025-08-08T20:08:39Z,N/A,1713,0,0,0
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2024-06-25T18:13:44Z,N/A,317,0,258,136
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2025-05-03T06:17:03Z,Python,1874,27,7830,5467
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2025-08-20T02:17:55Z,Java,1180,0,1104,1032
ollama/ollama,2023-06-26T19:39:32Z,2025-08-20T22:43:45Z,Go,2469,143,7982,6227
avelino/awesome-go,2014-07-06T13:42:15Z,2025-08-18T02:46:10Z,Go,3457,0,687,681
huggingface/transformers,2018-10-29T13:56:00Z,2025-08-20T20:59:20Z,Python,16638,222,17807,16725
airbnb/javascript,2012-11-01T23:13:50Z,2024-12-09T06:56:18Z,JavaScript,810,0,1366,1269
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2025-08-10T21:18:38Z,Batchfile,6,24,720,720
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2025-05-04T11:53:05Z,Python,1642,341,26768,23125
vercel/next.js,2016-10-05T23:32:51Z,2025-08-20T23:09:42Z,JavaScript,23627,1000,23368,21047
f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2025-08-02T07:30:17Z,JavaScript,171,0,0,0
n8n-io/n8n,2019-06-22T09:24:21Z,2025-08-20T19:35:40Z,TypeScript,10606,382,5154,4528
golang/go,2014-08-19T04:33:40Z,2025-08-20T22:14:03Z,Go,1,0,67929,58755
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2025-01-31T06:30:22Z,Markdown,238,1,918,916
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2025-07-10T00:25:52Z,TypeScript,481,0,115,74
Genymobile/scrcpy,2017-11-21T18:00:27Z,2025-08-12T17:04:09Z,C,113,47,5615,3167
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2025-07-30T17:30:00Z,Python,16,57,2840,2626
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,2025-08-20T14:18:18Z,JavaScript,826,12,300,300
facebook/react-native,2015-01-09T18:10:16Z,2025-08-20T20:39:10Z,C++,930,410,27200,26543
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,2025-08-20T19:46:10Z,Python,2904,117,9765,8169
microsoft/PowerToys,2019-05-01T17:44:02Z,2025-08-20T22:54:05Z,C#,5636,117,34537,27541
electron/electron,2013-04-12T01:47:36Z,2025-08-20T23:04:42Z,C++,23258,1000,21047,20291
kubernetes/kubernetes,2014-06-06T22:56:04Z,2025-08-20T21:15:14Z,Go,62231,755,47688,45773
krahets/hello-algo,2022-11-04T11:08:34Z,2025-08-05T18:33:00Z,Java,945,9,269,257
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,2024-07-15T08:55:20Z,N/A,282,3,0,0
langchain-ai/langchain,2022-10-17T02:58:36Z,2025-08-20T20:19:16Z,Jupyter Notebook,14480,946,8641,8432
nodejs/node,2014-11-26T19:57:11Z,2025-08-20T19:50:01Z,JavaScript,10749,455,19455,17733
langgenius/dify,2023-04-12T07:40:24Z,2025-08-20T15:49:10Z,TypeScript,7034,140,12549,11838
d3/d3,2010-09-27T17:22:42Z,2025-07-27T11:30:40Z,Shell,493,194,2229,2220
ripienaar/free-for-dev,2015-03-18T21:06:26Z,2025-08-15T08:31:14Z,HTML,2758,0,0,0
mrdoob/three.js,2010-03-23T18:58:01Z,2025-08-20T21:39:24Z,JavaScript,14387,171,13170,12721
axios/axios,2014-08-18T22:30:27Z,2025-08-20T12:37:05Z,JavaScript,1001,97,4844,4571
open-webui/open-webui,2023-10-06T22:08:27Z,2025-08-20T22:39:26Z,JavaScript,2499,119,6151,5955
rust-lang/rust,2010-06-16T20:39:03Z,2025-08-20T22:37:30Z,Rust,65604,140,59221,48580
excalidraw/excalidraw,2020-01-02T01:04:43Z,2025-08-20T19:45:32Z,TypeScript,3697,14,4241,2402
microsoft/TypeScript,2014-06-17T15:28:39Z,2025-08-20T22:25:03Z,TypeScript,14674,212,42447,36854
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2025-04-15T21:52:42Z,Dockerfile,765,0,328,285
denoland/deno,2018-05-15T01:34:26Z,2025-08-20T21:35:45Z,Rust,13332,341,13176,10905
facebook/create-react-app,2016-07-17T14:55:11Z,2025-02-15T01:32:11Z,JavaScript,1949,83,8401,6567
langflow-ai/langflow,2023-02-08T22:28:03Z,2025-08-20T22:38:27Z,Python,4613,262,2689,2258
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2024-10-12T06:51:36Z,Java,0,0,340,161
godotengine/godot,2014-01-04T16:05:36Z,2025-08-20T21:18:02Z,C++,38699,61,58088,46002
microsoft/terminal,2017-08-11T18:38:22Z,2025-08-20T22:10:44Z,C++,4187,136,13459,11863
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,2025-06-27T08:46:37Z,Python,21,1,586,556
angular/angular,2014-09-18T16:12:01Z,2025-08-20T21:14:07Z,TypeScript,3886,470,29475,28125
fatedier/frp,2015-12-21T15:24:59Z,2025-08-15T08:11:06Z,Go,683,106,3901,3838
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2025-05-04T18:45:38Z,Shell,437,0,246,245
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,2025-01-18T01:48:02Z,N/A,34,0,0,0
mui/material-ui,2014-08-18T19:11:54Z,2025-08-20T22:32:09Z,TypeScript,20794,547,20169,18550
iptv-org/iptv,2018-11-14T22:00:57Z,2025-08-20T13:08:26Z,TypeScript,6670,0,14823,14334
rustdesk/rustdesk,2020-09-28T15:36:08Z,2025-08-20T06:55:53Z,Rust,3634,31,3594,3537
tauri-apps/tauri,2019-07-13T09:09:37Z,2025-08-20T20:32:58Z,Rust,5165,1000,5768,4643
ant-design/ant-design,2015-04-24T15:37:24Z,2025-08-20T08:04:45Z,TypeScript,15767,714,31620,30391
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,2025-08-20T23:11:20Z,Jupyter Notebook,378,0,176,165
nvbn/thefuck,2015-04-08T15:08:04Z,2024-07-19T14:56:13Z,Python,481,17,760,472
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2024-07-29T07:24:37Z,JavaScript,149,0,235,163
shadcn-ui/ui,2023-01-04T12:43:27Z,2025-08-19T01:29:52Z,TypeScript,636,52,3344,2377
Anduin2017/HowToCook,2020-02-29T10:43:49Z,2025-08-01T16:17:17Z,Dockerfile,586,4,781,346
pytorch/pytorch,2016-08-13T05:26:41Z,2025-08-20T23:08:20Z,Python,6192,61,53224,37722
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2025-08-20T14:26:50Z,Java,1507,0,959,830
neovim/neovim,2014-01-31T13:39:22Z,2025-08-20T18:09:34Z,Vim Script,16129,45,13120,11471
puppeteer/puppeteer,2017-05-09T22:16:13Z,2025-08-20T18:06:16Z,TypeScript,5419,560,7218,6951
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2025-08-20T17:05:53Z,JavaScript,517,0,331,243
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,2025-06-27T08:35:54Z,N/A,9,1,631,587
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2024-10-24T11:25:46Z,Vue,311,49,3609,2357
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2025-08-19T19:26:01Z,TypeScript,3070,290,4539,4459
fastapi/fastapi,2018-12-08T08:21:47Z,2025-08-20T09:12:14Z,Python,2738,208,3466,3417
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2024-08-06T12:01:28Z,N/A,99,0,52,23
storybookjs/storybook,2016-03-18T04:23:44Z,2025-08-20T17:06:09Z,TypeScript,11478,1000,13691,11613
supabase/supabase,2019-10-12T05:56:49Z,2025-08-20T23:05:52Z,TypeScript,12932,22,4655,4420
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2025-08-20T18:34:15Z,JavaScript,991,12,480,367
openai/whisper,2022-09-16T20:02:54Z,2025-08-18T15:03:07Z,Python,119,13,0,0
nvm-sh/nvm,2010-04-15T17:47:47Z,2025-07-03T22:16:48Z,Shell,729,70,2314,1998
comfyanonymous/ComfyUI,2023-01-17T03:15:56Z,2025-08-20T21:46:55Z,Python,1192,73,6176,3663
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,2025-08-10T09:21:12Z,TypeScript,889,77,3547,2887
2dust/v2rayN,2019-07-30T03:47:24Z,2025-08-19T11:08:04Z,C#,272,264,6019,6012
ggml-org/llama.cpp,2023-03-10T18:58:00Z,2025-08-20T23:04:26Z,C++,5493,1000,5696,5362
bitcoin/bitcoin,2010-12-19T15:16:43Z,2025-08-20T21:29:21Z,C++,15508,56,8682,8272
florinpop17/app-ideas,2019-02-25T18:36:56Z,2024-08-16T09:41:10Z,N/A,149,0,170,44
django/django,2012-04-28T02:47:18Z,2025-08-20T08:29:07Z,Python,9852,0,0,0
sveltejs/svelte,2016-11-20T18:13:05Z,2025-08-20T23:01:41Z,JavaScript,5988,510,8494,7681
gin-gonic/gin,2014-06-16T23:57:25Z,2025-08-12T07:40:45Z,Go,1114,27,2348,1680
opencv/opencv,2012-07-19T09:40:17Z,2025-08-20T12:10:03Z,C++,13085,66,11234,8630
gohugoio/hugo,2013-07-04T15:26:26Z,2025-08-20T11:20:14Z,Go,2956,337,7799,7358
mermaid-js/mermaid,2014-11-01T23:52:32Z,2025-08-20T18:13:06Z,TypeScript,2437,162,3366,2097
gothinkster/realworld,2016-02-26T20:49:53Z,2025-08-20T14:15:33Z,TypeScript,433,0,542,503
animate-css/animate.css,2011-10-12T10:07:38Z,2024-07-29T19:34:21Z,CSS,315,22,880,841
